country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM","24-09-2024 10:00:00",18.664282,73.763966,OZONE,7,56,24
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","24-09-2024 10:00:00",19.222279,72.957979,OZONE,8,34,17
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","24-09-2024 10:00:00",19.4458210,72.7988231,OZONE,15,54,21
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","24-09-2024 10:00:00","20.48891     ","85.84768     ",OZONE,10,54,15
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","24-09-2024 10:00:00",20.832874,85.104082,OZONE,14,87,21
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB","24-09-2024 10:00:00",22.1166054,85.3945546,OZONE,4,71,15
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB","24-09-2024 10:00:00",20.9360711,85.1707021,OZONE,23,49,37
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","24-09-2024 10:00:00",20.240790,85.836784,OZONE,11,51,20
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","24-09-2024 10:00:00",19.26777,72.97182,OZONE,5,321,115
India,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB","24-09-2024 10:00:00",19.192056,72.9585188,OZONE,11,33,13
India,Meghalaya,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB","24-09-2024 10:00:00",25.5586,91.8985,OZONE,2,28,9
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB","24-09-2024 10:00:00",25.771061," 73.340227",OZONE,16,46,23
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB","24-09-2024 10:00:00",23.555190,74.440010,OZONE,21,65,39
India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB","24-09-2024 10:00:00",25.106006,76.469948,OZONE,13,80,26
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB","24-09-2024 10:00:00",25.747299,71.393989,OZONE,33,64,38
